Content,Date,SerialNumber,Title
"台灣蓄水量第一大的水庫──曾文水庫，總容量為708百萬立方公尺。大壩位於台南市楠西區，壩身材料為土石壩，壩高133公尺，壩長400公尺，滿水面積1,714公頃，具有給水、防洪、灌溉、發電及觀光等多目標水庫（台灣第二大蓄水庫──翡翠水庫；總容量為406百萬立方公尺）。","20140514","12","台灣蓄水量最大的水庫？"
"<div><p>魚道就是給魚爬的渠道，台灣也有許多如鮭魚之類的迴游於類，如果水庫或攔河堰建在河道中而不設魚道，將會使魚類無法回到上游產卵而引響生態。水利處十分重視此項環境問題，目前在濁水溪集集攔河堰及高屏溪攔河堰等工程均已分別設置110公尺及35公尺魚道供魚兒回家。以下圖例為石岡壩魚道:<br />資料來源:第十河川局網站http://www.wra10.gov.tw/ct.asp?xItem=44410&amp;ctNode=30509&amp;mp=10<br /><a title=<IMG alt=石岡壩魚道 src= target= _fcksavedurl= trrn.wra.gov.tw= trrn= static= front= images= href=http://www.wracb.gov.tw/ct.asp?xItem=3787&amp;CtNode=1179&amp;mp=1>,另開新視窗&quot;><img alt=石岡壩魚道 src=http://trrn.wra.gov.tw/trrn/static/front/images/9123015592371.jpg /></a> <br />圖片來源:水利署中區水資源局石岡壩管理中心</p></div>","20141007","37","魚道是什麼？"
"<div><p>所謂「河川棲地模式」係以水理分析模式(例如HEC-RAS)來分析某一河段在某一流量作用下之水深與流速之後，再配合該河段之標地物種對於棲地條件之喜好情形，估算適合標地物種之棲地面積。「河川棲地模式」之評估方法眾多，美國國家生態研究中心(National Ecology Research Center)之水域生系部門(ASB)於1978年提出之「物理棲地模擬系統(Physical Habitat Simulation System, PHABSIM)為棲地法中最為廣泛應用的模式。(吳富春等人，1998)<br /><br />如何應用於河川復育請參考：吳富春、胡通哲、李國昇、李德旺(1998)，應用棲地模式估算台灣河川之生態流量，第九屆水利工程研討會，pp.C21-C28.</p></div>","20141007","38","請問河川棲地模式是什麼?如何應用於河川復育?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>河川日（Rivers Day）是一個全球性關懷河川、保護河川之行動節日！國內的河川日訂定九月的最後一個星期日為河川日。</span>","20150930","86","什麼是河川日?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>日本也早在1996年，國土交通省便指定每年的7月7日為日本的河川日（川日），藉以推廣及養成日本國民愛護河川之意識。　2006年，水利署有鑑於台灣河川，或因過度開發地整治、或水域受到嚴重污染，造成水環境惡化、河川生態遭到空前之威脅與破壞，因此委託辦理 &quot;台灣河川日育宣導活動計畫&quot;。是年規劃並邀請國內環境保護及生態保育相關並認同河川日宗旨之團體、社區大學&hellip;&hellip;等非政府組織與政府部門一起簽署愛護河川宣言，共同發起、創立屬於台灣自己的「河川日」，期讓台灣河川日（Taiwan Rivers Day）成為全民愛護河川、保護河川的一個行動節日。藉由台灣河川日活動之發起，每年規劃並持續舉辦系列教育宣導活動，以寓教於樂、潛移默化方式來提昇民眾愛護河川意識；藉由舉辦研討會及論壇等方式，深化民眾河川議題相關之知能及保護河川之環境意識，俾有助於建立全民共識，並利有水利施政措施及方案之推動。同時，亦讓台灣更積極扮演身為地球村一份子之角色，參與國際性議題與運動－拯救地球、維護地球環境與生態。河川日（Rivers Day）是一個全球性關懷河川、保護河川之行動節日！國內的河川日訂定九月的最後一個星期日為河川日。</span>","20150930","87","為什麼要訂定河川日?"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>台灣最長的河川─濁水溪，幹流長度為186.6公里，發源於合歡山主峰與東峰之佐久間鞍部，標高約3,200公尺；流經南投、彰化及雲林縣境，於彰化縣大城鄉與雲林縣麥寮鄉交界出海，主要支流計清水溪、陳有蘭溪及東埔蚋溪。<br /><img src=http://trrn.wra.gov.tw/trrn/static/data/images/understandingRiver/understandingr0076.jpg alt=相關圖片 /><br type=_moz /></span>","20150930","88","台灣最長的河川是那一條？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>沿河向及河岸兩側緩衝帶創造多層次之植栽景觀綠帶，提供人們休閒遊憩親水空間，兼具給予多樣性生物群生存之空間。</span><br style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify; /><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>資料來源:水利署水利科技名詞查詢系統http://gweb.wra.gov.tw/pdhidist/List.asp?Action=Search<br /><img src=http://trrn.wra.gov.tw/trrn/static/front/images/eco_walk.jpg alt=相關圖片 /><br /></span><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>圖片來源:http://140.116.96.93/museum/02/waydefinition.html</span>","20150930","89","什麼是河川生態廊道"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>施作堅固的防洪工程以保護人民生命財產安全是水利工程師的天職，然工程師亦是惟一可掌握並改造大地的執行者，生態及景觀學家一再呼籲工程師在河川工程規劃上應做實質之配合。但倘工程師未做好河川生態復育的先前作業而致無法接續改善棲地及環境之工作，生態及景觀學家只能徒呼奈何。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","90","河川生態復育工作是否非工程師之職責？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>生態復育存在許多不確定因素，各國在推動生態工程實施棲地改善時都曾經過試誤學習的階段，以日本為例，其河道生態工程曾經歷「自然形態、自然材料、自然機制」及「單種復育」及「單種復育、多種復育、系統復育」的演變。日本建設省在1990年發佈行政命令全面實施多自然造川後，首先出現的是大批生硬的自然擬態作品，如在高灘地上挖出勉強蜿蜒的河道後加以固定，堤防表面植草綠化等。同時出現制式的螢火蟲護岸，魚巢護岸，混凝土魚道等。以單一明星物種為對象的河道內結構物。90年代初期全國每年推出數以千計的多自然造川工程，然而工程師尚無法突然脫離對慣用材料及設計方法的依賴，大量工程因而成為生態學者交相指責的對象。</span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);><br />美國河道生態工程推動狀況因州而異，河川復育在體制設計下的功夫較深，法令及管理方式都朝流域經營的主軸前進。由於其常用的河道生態工程多承襲歐洲，技術發展和規劃設計理念的進展顯得相對遲滯。在此發展過程中，美國亦無可避免地經歷和日本類似的試誤學習。因此進行河川復育工作時應勇於挑戰艱鉅任務且不畏懼犯錯，方有可能累積經驗。在生態工程發展歷程中，國內已落後歐美日數十年，如能承襲並擷取先進國家經驗，將可減免不少錯誤的發生，但倘若永遠不願嘗試，並從失敗中求取經驗以策利未來之導向，勢將難以肩負起河川環境營造的社會責任。</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p>","20150930","92","防洪工程是否不能做為生態復育之試驗品，亦即不容許失敗？"
"&nbsp;<span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;>台灣河川地形與水文氣候特性，在推展河川生態工程時確實需歷經較嚴苛之考驗，但其實許多工程師並無認真從河川型態、水理、蜿蜒度、河川坡降及流況上探討或由河岸抗剪應力強度推算取得驗證，對「生態工程」不可靠之疑慮大多僅憑直覺，甚至認為必須犧牲防洪安全方足以竟其功。常見統計資料比較世界各重要河川之坡度（見圖），將台灣之濁水溪、大甲溪等與世界著名河川如科羅拉多河、萊茵河、湄公河等做比較並不恰當。台灣河川平均坡度遠陡於其他內陸國家河川雖是事實，但如此比較極易造成錯覺，先進國家亦有從淺山（大約海拔300公尺以下）流下之河川，類似於中部大里溪、烏溪等，其條件與台灣河川水文及地形條件相當，然亦未避諱採用生態工程。</span><div><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;><img src=http://trrn.wra.gov.tw/trrn_file//static/upload/htmleditor/1390eb69d1100000282c.png alt=相關圖片 /><br /></span><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: center; color: rgb(51, 51, 51);>圖&nbsp; 河川坡度比較圖（資料來源：河川景觀暨生態環境規劃，2008）</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>堤防被沖毀之原因，除因發生異常之水文事件已超越工成本身所能承受之情況外，很可能是在險要河段（如彎道之凹岸），也可能是與人為過度破壞（如疏濬、濫採砂石、河川地不當使用）有關，再者水泥堤防亦有其禦洪之缺點及極限，例如期撓屈性不佳、堤心易掏空、不吸水性及會減低河岸粗糙度等，均使得在洪流直沖段極易破損。<br /><br />特殊異常之水文現象或百年一次洪水或瞬間極大之暴雨並非只有台灣可能發生，坡度陡峻之河川也不是只有台灣有，惟國外水利工程師會藉由各種水文水理分析暨河川型態之探討，以達到減用或不用水泥來構築防洪工程，也並未認為生態工程之禦洪能力較差。但儘管如此，最重要者還是要因地制宜，一個優良的工程師必須要有判斷適當棲地復育地點之能力，而不是始終沉浸於不當的直覺中。</p><p style=padding: 0px; margin: 0px 0px 15px; font-stretch: normal; font-size: 14px; line-height: 19.6px; font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; letter-spacing: 1px; text-align: justify; color: rgb(51, 51, 51);>資料來源：王永珍(2008)。河川景觀暨生態環境規劃。臺北：明文書局股份有限公司。</p><span style=color: rgb(51, 51, 51); font-family: 微軟正黑體, 'Microsoft JhengHei', 新細明體; font-size: 14px; letter-spacing: 1px; line-height: 19.6px; text-align: justify;><br type=_moz /></span></div>","20150930","94","台灣河川型態及水文條件是否不適宜做生態工程？"
