department,question
勞動部勞工保險局,20.勞工的勞保、職保投保資料及勞工退休金個人專戶有哪些查詢方式？
勞動部勞工保險局,19.領年金期間身故 遺屬還可領差額金？
勞動部勞工保險局,18.勞保湊國保，也能領年金！
勞動部勞工保險局,17.如何請領勞保老年給付，較有利？
勞動部勞工保險局,16.勞保年金延後或提前領，每年增減4％
勞動部勞工保險局,15.想幾歲領老年年金？先算出生年次！
勞動部勞工保險局,14.勞保中斷多年，仍得請領老年給付？
勞動部勞工保險局,35. 什麼是保證收益？保證收益率如何計算及查詢？
勞動部勞工保險局,1.老王為農保被保險人，最近遇到勞、農保黃牛，要替老王代辦農保身心障礙給付，並要老王簽切結書，如您剛好在旁，要如何檢舉黃牛呢？
勞動部勞工保險局,5.我是公司會計，最近公司一位新進員工，但是他請公司不要為他加保，以便能繼續請領失業給付，這樣可以嗎？
勞動部勞工保險局,4.我去醫院就診時，有人發傳單給我並慫恿我委託他代辦申請勞保給付，推銷自己專業又有門路，可以很快領到較多錢，該如何檢舉？
勞動部勞工保險局,3.我因長期從事作業員工作導致「腕隧道症狀群」之職業病，公司不幫我申請職災傷病給付，該如何申訴呢？
勞動部勞工保險局,2.我在工作中受傷，公司不幫我申請職災，也不付我薪水，該如何申訴呢？
勞動部勞工保險局,45. 漁會受理老農津貼網路初審作業相關Q&A(限漁會承辦人使用)
勞動部勞工保險局,1.公司沒有幫我保勞保，或是投保薪資低報，以致影響我的勞保給付，我該如何申訴呢?
勞動部勞工保險局,5. 我到公立就業服務機構申請失業給付或職業訓練生活津貼，還要另外到勞保局辦理申請專戶嗎？
勞動部勞工保險局,5. 農民職災保險被保險人的保險費應如何計算？
勞動部勞工保險局,6.我想要檢舉公司沒幫我加保，我的身分會曝光嗎？
勞動部勞工保險局,6. 參加農民職災保險之身心障礙者，個人應繳納之保險費金額有減免補助嗎？ 
勞動部勞工保險局,1.我發現雇主沒有依規定提繳勞工退休金，應如何申訴？
勞動部勞工保險局,4. 那些醫療機構有辦理勞工保險預防職業病健康檢查？
勞動部勞工保險局,3. 預防職業病健康檢查需支付費用嗎？
勞動部勞工保險局,2. 如何辦理申請勞工保險預防職業病健康檢查？
勞動部勞工保險局,5. 申請核退職災醫療費用時，應檢具哪些文件？
勞動部勞工保險局,6.我的朋友說他們公司同意員工一邊上班、一邊向勞保局請領育嬰留職停薪津貼，該如何檢舉？
勞動部勞工保險局,1. 何謂預防職業病健康檢查？
勞動部勞工保險局,退保後職業病醫療補助、失能津貼及死亡津貼
勞動部勞工保險局,2. 如何取得勞工保險職業傷病醫療書單？
勞動部勞工保險局,10. 對於勞保局核定墊償案件不服時，是否有行政救濟管道？
勞動部勞工保險局,5. 被保險人至認可醫療機構接受健康檢查時要注意哪些事項？
勞動部勞工保險局,7. 我要申請積欠工資、勞基法之退休金、資遣費或勞工退休金條例之資遣費墊償，要怎麼辦理？要準備那些書表和證明文件？何處可取得積欠工資墊償的申請書表？
勞動部勞工保險局,4. 職災就診時未帶相關證件，如何處理？
勞動部勞工保險局,6. 我的老闆欠我薪水，我可不可以申請墊償？
勞動部勞工保險局,2. 什麼是保證收益？保證收益率如何計算？勞動部勞動基金運用局公告的保證收益率，如何查詢？
勞動部勞工保險局,6. 如果在參加國民年金保險期間死亡，而且同時符合勞保死亡給付的請領規定，遺屬是否可以同時請領國保和勞保的給付？ 
勞動部勞工保險局,9. 我申請墊償要多久的時間才會核發？我要怎麼去領取？要不要繳納手續費？要扣所得稅嗎？雇主要歸還勞保局代墊的工資嗎？
勞動部勞工保險局,5. 我發現在勞保局e化服務系統申報的勞退資料有錯，可以重新申報或更正嗎？
勞動部勞工保險局,6. 利用健保署網路加退保作業系統申報時，是否可申報勞退之提繳/停繳/提繳工資調整？
勞動部勞工保險局,1. 如何計算個別勞工退休金專戶之收益金額？每年什麼時候辦理收益分配？我要怎麼知道我的退休金分配到多少收益？若勞退基金運用產生虧損時怎麼辦？會影響我的退休金（本金）嗎？
勞動部勞工保險局,3. 進入「勞保申辦作業」，申報合一加保或薪調時，只有1個「月實際工資」欄可輸入金額，該如何申報？
勞動部勞工保險局,4. 調整雇主提繳率及勞工個人自願提繳率，可至勞保局e化服務系統申報嗎？申報後何時生效？
勞動部勞工保險局,6. 現在是資訊時代，為何不能語音查詢勞退明細？ 
勞動部勞工保險局,1. 如何成為勞退網路申辦的提繳單位？
勞動部勞工保險局,3. 新制勞工退休基金110年度收益分配Q&A
勞動部勞工保險局,未加保職災勞工失能補助及死亡補助
勞動部勞工保險局,2. 如何進入勞保局e化服務系統？ 
勞動部勞工保險局,8. 我現在是勞保或國保被保險人領有重度以上身心障礙手冊（證明）且沒有工作能力，可以先請領勞工退休金後，再去申請勞保失能或國保身心障礙給付嗎？
勞動部勞工保險局,3. 投保單位未依規定發給職業傷病門、住診醫療書單時如何處理？
勞動部勞工保險局,1. 我要怎麼知道老闆有沒有按時為我繳納退休金？如何查詢勞工個人專戶金額？
