部門 問題
科技部 於教學醫院擔任主治醫師滿2年，但無SCI著作，可申請專題研究計畫嗎?
科技部 研發替代役可否擔任專題研究計畫主持人?
科技部 新進人員從未申請計畫，可以隨到隨審方式分別提出一般研究計畫及新進人員研究計畫嗎?
科技部 請問貴單位是否會存留未申請上專題研究計畫的相關檔案（如計畫書）？如果有，要如何申請提供？
科技部 私立學校的專案助理教授，是否符合專題研究計畫主持人資格?
科技部 教學醫院擔任主治醫師滿2?可申請計畫，此2年係指於同一教學醫院任職滿2年嗎?若於不同教學醫院分別任職，累積任職滿2年以上，是否符合主持人資格?
科技部 受審查中的研究計畫申請案，是否需要在四月以前，繳交該計畫的IRB送件證明電子檔，或等到六、七月科技部通知審查結果，才決定是否送件?又應如何繳交?
科技部 各類專題研究計畫核定通過後，申請人所提供審查之著作、專利或作品目錄，為何未公開給外界查閱?
科技部 計畫申請時，如顯示「合併檔製作中」，繳交送出是否視為成功申請（還是要合併檔製作完成才算申請完成）？
科技部 是否只要教學研究年資併計未超過5年之新進人員，皆可以隨到隨審方式申請專題計畫?
科技部 申請隨到隨審計畫之資格為何?如前已申請但未獲通過是否可再申請?
科技部 實施女性主持人懷孕至養育三足歲以下子女期間得增核研究人力及計畫隨到隨審的目的為何？
科技部 足資證明懷孕或生育事實的證明文件有哪些？
科技部 女性計畫主持人若因故致懷孕或養育事實消滅，是否仍得檢附先前開立的證明文件以隨到隨審方式提出計畫申請或追加研究人力經費？
科技部 以女性計畫主持人生育期間資格條件獲核定補助之計畫或項目，發現申請時已不具懷孕或養育事實的處理方式？
科技部 以女性生育期間資格條件提出的隨到隨審計畫，是否較容易通過審查？
科技部 國立大學已退休之教授，如不符合專題研究計畫作業要點第三點計畫主持人之任一資格者，是否仍可變更執行機構至新任職學校繼續執行?
科技部 共同主持人有無人數限制?
科技部 在台任教之外國教師是否可以擔任專題研究計畫計畫主持人或共同主持人?
科技部 "國外學術研究單位可否申請專題研究計畫? 又於國外大學任教之教授是否可以擔任專題研究計畫共同主持人?"
科技部 一件計畫所指為何?如整合型計畫包含總計畫及子計畫，有多個計畫編號，是否屬一件計畫?
科技部 有關業務費使用限制，其租賃房舍如何認定可否承租？
科技部 有關業務費不再分細項，於總額度內執行機構是否須依申請書編列項目管制，計畫主持人可否視實際需求做調整？
科技部 執行機構會另外控管研究人力費用，以避免在計畫後期短缺，所以若目前核定清單不顯示細項，在系統後台下載部分，是否維持當初核定金額，讓執行機構可以下載？
科技部 "身障人士的輔具購買、租賃等費用，是否要在計畫申請時即提出? 或是計畫執行過程中有需求之事實，即可提出?"
科技部 租賃資產應否列入財產管理?
