部門 問題
經濟部智慧財產局 何謂專利？
經濟部智慧財產局 我國的專利種類有幾種？
經濟部智慧財產局 何謂發明？
經濟部智慧財產局 何謂新型？
經濟部智慧財產局 何謂設計？
經濟部智慧財產局 發明專利、新型專利、設計專利有何不同？
經濟部智慧財產局 哪些是法定不予發明專利的事項？
經濟部智慧財產局 哪些是法定不予新型專利的事項？
經濟部智慧財產局 哪些是法定不予設計專利的事項？
經濟部智慧財產局 概念是否為專利保護的標的？
經濟部智慧財產局 單純的發現，可以申請專利嗎？
經濟部智慧財產局 能量不滅定律之科學原理，可以申請專利嗎？
經濟部智慧財產局 電腦軟體，可以申請專利嗎？
經濟部智慧財產局 中文輸入法之規則或方法，可以申請專利嗎？
經濟部智慧財產局 以手指夾球之特殊持球及投球方法為特別特徵之指叉球投球法，可以申請專利嗎？
經濟部智慧財產局 數學方法、遊戲方法或運動規則，可以申請專利嗎？
經濟部智慧財產局 英文語言規則，可以申請專利嗎？
經濟部智慧財產局 商業方法，可以申請專利嗎？
經濟部智慧財產局 傳統技藝，可以申請專利嗎？
經濟部智慧財產局 引進國外已取得專利的技術，可以申請專利嗎？
經濟部智慧財產局 引進國外的產品在國內做功能性或結構改良，可以申請專利嗎？
經濟部智慧財產局 何謂國際優先權？
經濟部智慧財產局 何謂國內優先權？
經濟部智慧財產局 何謂優惠期？
經濟部智慧財產局 申請我國或外國專利，必須考慮那些因素？
經濟部智慧財產局 產品要出口到國外，需要在當地申請專利嗎？
經濟部智慧財產局 有些廣告或型錄會標註「世界專利」、「國際專利」，何謂「世界專利」、「國際專利」？
經濟部智慧財產局 已向外國申請專利，還需要再向智慧局申請嗎？
經濟部智慧財產局 申請外國專利，必須注意那些事項？
經濟部智慧財產局 智慧局可以協助申請人申請國外專利嗎？
經濟部智慧財產局 何人可以申請專利？
經濟部智慧財產局 公司員工之創作，其專利權歸屬公司或員工？
經濟部智慧財產局 出資委託專業公司或外部專家完成的創作，其專利權歸屬何人？
經濟部智慧財產局 專利摘要的字數，一定要在250個字以內嗎？
經濟部智慧財產局 我第一次申請專利，應如何辦理？
經濟部智慧財產局 專利申請案號的編碼規則為何？
經濟部智慧財產局 專利申請人的資格有什麼限制？
經濟部智慧財產局 分公司可以當專利申請人嗎？
經濟部智慧財產局 有辦理商業登記的行號，可以當專利申請人嗎？
經濟部智慧財產局 學生社團，可以當專利申請人嗎？
經濟部智慧財產局 是否可以用「醫療財團法人所設醫院」及「學校財團法人所設學校」名義為申請人提出專利申請？
經濟部智慧財產局 申請專利時還沒確定申請人，可以先空白，日後再補填嗎？
經濟部智慧財產局 專利申請權為共有時，應如何申請？
經濟部智慧財產局 專利申請人有二人以上，可以先填寫部分申請人資訊，嗣後再補齊其他申請人資訊嗎？
經濟部智慧財產局 專利申請人如果未滿20歲，申請書需要有父母的簽章嗎？
經濟部智慧財產局 專利申請人為中國大陸之法人，其委任書上之簽章可否僅由代表人簽署？
經濟部智慧財產局 發明人(新型創作人、設計人)一定是自然人嗎？可以填寫公司或學校嗎？
經濟部智慧財產局 申請人或發明人(新型創作人、設計人)的姓名或名稱可以使用日、韓漢字或簡體字嗎？
經濟部智慧財產局 申請專利可以自己申請，不委託代理人嗎？
經濟部智慧財產局 誰必須委任代理人申請專利？
經濟部智慧財產局 中國大陸申請人一定要委任代理人嗎？
經濟部智慧財產局 二人共同申請專利，一人在國內有住所或營業所，一人在國內沒有住所或營業所，也要委任代理人嗎？
經濟部智慧財產局 申請人可以在一個申請案，同時委任不同的事務所嗎？
經濟部智慧財產局 專利申請案的代理人有限制人數嗎？超過人數會如何處理？
經濟部智慧財產局 專利申請案解除委任後， 又重行委任同一代理人，委任書還要重送嗎？需要繳納規費嗎？
經濟部智慧財產局 申請專利及辦理與專利有關的一切事項，代理人都有權限嗎？
經濟部智慧財產局 委任書如何撰寫？有固定格式嗎？
經濟部智慧財產局 專利申請人為公司時，其代表人為另ㄧ家公司，委任書應如何簽署？
經濟部智慧財產局 申請專利時聲明委任書後補，嗣後補正委任書時，委任書中簽署日期晚於申請專利日期可以嗎？
經濟部智慧財產局 請問申請人委任書簽署的英文名字與申請書上英文姓名不符可以嗎？
經濟部智慧財產局 專利申請人名稱因故變更，委任書上申請人名稱仍是舊名稱，是否可援用該委任書申請專利？
經濟部智慧財產局 智慧局可以幫忙介紹專利師或專利代理人嗎？
經濟部智慧財產局 專利新申請案代理人委任書尚未補正，代理人可否撤回申請案？
經濟部智慧財產局 一專利申請案委任兩個代理人，其相關公文是否會寄發給兩個代理人？
經濟部智慧財產局 申請人在本國無住居所，並已委任代理人，該申請人之地址可否填寫郵政信箱？
經濟部智慧財產局 申請專利及辦理有關專利事項，需要準備什麼文件？
經濟部智慧財產局 申請書表有規定格式嗎？如何取得？
經濟部智慧財產局 申辦專利事項一定要使用規定的書表格式嗎？
經濟部智慧財產局 填寫專利申請書時，應注意哪些事項？
經濟部智慧財產局 我想指定代收人，要填在專利申請書哪一個欄位？
經濟部智慧財產局 申請文件的文字及書寫方式有何特別規定？
經濟部智慧財產局 可以用外文提出專利申請嗎？外文種類有無限制？
經濟部智慧財產局 可以用簡體字提出專利申請嗎？
經濟部智慧財產局 專利名稱有限制字數嗎？
經濟部智慧財產局 申請書一定要填寫申請人及發明人(新型創作人、設計人)的身分證字號或統一編號嗎？
經濟部智慧財產局 申請書有填申請人的e-mail時，會用 e-mail聯絡申請人嗎？
經濟部智慧財產局 發明或新型摘要應如何撰寫？
經濟部智慧財產局 請問專利申請案摘要的字數，一定要在250個字以內嗎？
經濟部智慧財產局 何謂指定代表圖？智慧局可以更改申請人指定的代表圖嗎？
經濟部智慧財產局 發明、新型專利說明書如何撰寫？
經濟部智慧財產局 申請專利之技術內容以化學式、數學式或表呈現時，應置於說明書或圖式？
經濟部智慧財產局 設計專利說明書如何撰寫？
經濟部智慧財產局 說明書一定要有段落編號嗎？每一段都要有一個編號嗎？
經濟部智慧財產局 為什麼依智慧局的說明書格式編寫段落編號時，超過第100段後會變成5碼？
經濟部智慧財產局 先用外文本送件，再補正中文本取得申請日，中文本和外文本的段落編號要一致嗎？
經濟部智慧財產局 為何發明或新型專利說明書要載明有關的先前技術？
經濟部智慧財產局 申請專利範圍如何撰寫？
經濟部智慧財產局 什麼是獨立項？什麼是附屬項？申請專利範圍內有附屬項時，其項號可以寫成 1-1、1-2的形式嗎？
經濟部智慧財產局 摘要、說明書、申請專利範圍的頁碼要獨立編頁碼或連續編頁碼？
經濟部智慧財產局 發明、新型的圖式要如何繪製？可以用照片取代嗎？
經濟部智慧財產局 設計的圖式要如何繪製？可以用照片取代嗎？
經濟部智慧財產局 設計專利的圖式，如果沒有標示前視圖、後視圖、左側視圖、右側視圖、俯視圖、仰視圖，申請案會不受理嗎？
經濟部智慧財產局 圖式可以使用人工繪圖嗎？
經濟部智慧財產局 圖式要編寫頁碼嗎？
經濟部智慧財產局 專利申請案圖式之圖號可否不依順序排序？
經濟部智慧財產局 申請優先權證明文件，尚未核發，嗣後申請變更申請人名稱，請問優先權證明文件上所記載之申請人名稱為變更後的申請人名稱嗎？
經濟部智慧財產局 專利申請案送件後，申請人主動修正，其後之優先權證明文件，是使用哪一個版本？
經濟部智慧財產局 智慧局可以協助申請人撰寫專利申請文件嗎？
經濟部智慧財產局 模型或樣品可以在申請時一起送給智慧局審查嗎？
經濟部智慧財產局 送件前發現申請文件有寫錯時，可以直接在上面塗改蓋章嗎？
經濟部智慧財產局 專利申請如何送件？可以使用傳真或e-mail方式申請專利嗎？
經濟部智慧財產局 如何以電子方式申請專利？
經濟部智慧財產局 請問電子申請與紙本申請，有沒有差別？審核速度是否不同？
經濟部智慧財產局 使用電子申請，一定要註冊為會員嗎？如有代理人者，到底是代理人註冊即可？還是申請人也要？
經濟部智慧財產局 以電子方式申請專利，可以使用何種電子憑證？
經濟部智慧財產局 我是大陸地區人士或法人，必須備具身分證明文件嗎？
經濟部智慧財產局 申請專利應檢附的各種證明文件，可以是影本嗎？
