部門 問題
人事處 一般民眾可否申請內政專業獎章？
人事處 本部模範公務人員需符合哪些條件？
人事處 民眾覺得本部同仁服務態度良好，應如何給予獎勵？
人事處 公務人員通過英檢是否有獎勵及補助？
人事處 公務人員符合什麼資格件可以申請進修？
人事處 請問內政部聘僱人員可以在外兼職嗎?
人事處 公務人員因公涉及訴訟時，機關是否給予相關協助？
人事處 家庭照顧假的日數總共有幾天？申請日數有無限制或影響？需要附證明文件嗎？
人事處 有關因天然災害停止上班上課之相關規定為何?
中央警察大學 中央警察大學學士班四年制（大學部）報考資格為何？
中央警察大學 貴校學士班四年制招生簡章上網公告及網路報名時間約為何時？
中央警察大學 我想請問一下警大是如何錄取?是要考指定考科還是學測?還有有偏重哪一科科目嗎?
中央警察大學 貴校學士班四年制（大學部）有哪些學系？
中央警察大學 報名貴校四年制（大學部）招生考試是否會與其他大學指考及推甄衝突？
中央警察大學 如何報名參加貴校學士班四年制考試？
中央警察大學 貴校學士班四年制（大學部）招生簡章如何取得？
中央警察大學 貴校學士班四年制第二階段考試（複試）包括哪些項目？是否計算分數？
中央警察大學 若學科採計成績(大學學測分數依甲乙組不同各取四科)總分相同者，成績如何排序？
中央警察大學 考生如有前科，是否仍可報考貴校學士班四年制？
中央警察大學 貴校學士班四年制目前是否辦理體技學生專長甄試？
中央警察大學 貴校學士班四年制入學考試哪一些考生可以享受加分優待？
中央警察大學 原住民報考貴校學士班四年制可享優待為何？
中央警察大學 貴校學士班四年制學生畢業後如何分發任用？
中央警察大學 貴校學士班四年制在校求學期間享有之待遇與福利如何？
中央警察大學 學士班四年制（大學部）學生畢業後須至少服務幾年？是否要服兵役？
中央警察大學 貴校學士班四年制學生畢業之後，有哪一些進修管道？
中央警察大學 貴校學士班四年制體檢男、女生身高、BMI及視力之規定為何？
中央警察大學 貴校研究所入學考試一般全時生、在職全時生及部分時間進修生有何差別？
中央警察大學 申請中(英)文歷年成績單
中央警察大學 如何申請休學、退學、復學
中央警察大學 補發畢業證明書
中央警察大學 在學證明書
中央警察大學 「警學叢刊」及「執法新知論衡」審查稿件採單審制或雙審制？
中央警察大學 「警學叢刊」及「執法新知論衡」多久出刊一次？
中央警察大學 如何申請併計陸軍官校入伍訓期證明？
中央警察大學 中央警察大學體技保送甄試項目為何？需具備什麼資格？
中央警察大學 體技項目畢業標準為何？
中央警察大學 警大畢業學生未於規定期限內通過特考及格分發任職者，中央警察大學要如何追償教育費用?
中央警察大學 媒體洽詢
中央警察大學 如何與學校退休人員聯繫？
中央警察大學 有關退休年資及退休金計算方式？
中央警察大學 接受委託鑑定案件
中央警察大學 接受案件類型
中央警察大學 各類鑑定案內容為何
中央警察大學 中央警察大學鑑定案件全年收件狀況
中央警察大學 推廣中心學員報到前1日可否提前進駐？
中央警察大學 推廣中心受訓學員報到時應攜帶之證件及物品為何？
中央警察大學 發現警大網站中有錯誤資料，該怎麼處理？
中央警察大學 中央警察大學編列學生公費，編列依據及內容說明。
中央警察大學 警大畢業學生之應服務年限規定與教育費用賠償項目為何?賠償費用要如何繳納?
中央警察大學 外賓參訪
中央警察大學 招生宣導
中央警察大學 外事警察學系學生之分發及其工作內容?
中央警察大學 本校犯罪防治研究所碩士班加考犯罪統計與資料分析考科之答覆
中央警察大學 如何進入學校擔任教職？
中央警察大學 請問博物館的開館時間及參觀方式？
中央警察大學 請問我可否參加學校活動？
中央警察大學 中央警察大學學生在校期間退學，是否需要賠償公費？
中央警察大學 請問如何取得貴校的投標文件?
中央警察大學 請問中央警察大學的歷屆招生考題在網站的哪裡可以查詢？
中央警察大學 為什麼考中央警察大學要有身高限制？
中央警察大學 請問中央警察大學學生實習規劃為何?
中央警察大學 學生平安保險有效期限為何？
中央警察大學 學校行政人員若有出缺，應如何應聘？
中央警察大學 參觀世界警察博物館需要收費嗎？
中央警察大學 請問如何參與警察大學外租部門之標租?
中央警察大學 警大學生通識課程必須選修幾個學分？
中央警察大學 請問資訊管理學系畢業學生分發的單位為何?
中央警察大學 請問要報考中央警察大學外事警察學系，英文是否要通過檢定？
中央警察大學 中央警察大學推廣教育訓練中心負責主要業務有哪些
中央警察大學 中央警察大學學士班四年制新生入學體能測驗項目、標準為何？
中央警察大學 至中央警察大學會客，於進入校區前，須辦理何項通行手續？
中央警察大學 中央警察大學學士班學生之例假情形？
中央警察大學 中央警察大學推廣教育訓練中心辦理哪些訓練班期？
中央警察大學 為何報考警大需要辨色力規定(色盲、色弱為體檢不合格)？
中央警察大學 我對中央警察大學公布的標準答案有疑義，該如何處理？
中央警察大學 請問若未依規定服務滿一定年限，服務年限未滿者，應賠償在學期間之教育費用，若當事人拒繳，中央警察大學會如何處置？
中央警察大學 中央警察大學之鑑定案件送鑑程序？
中央警察大學 請問何時辦理抵免學分?最高能抵免多少學分?
中央警察大學 新生於入校後，學校有沒有協助辦理學生健康保險？
中央警察大學 新生入校接受預備教育時，有沒有個別會客時間？
中央警察大學 請問中央警察大學網站有提供無障礙服務嗎?
中央警察大學 如何參加中央警察大學行政管理學系舉辦的研討會？
中央警察大學 《涉外執法與政策學報》論文邀稿
中央警察大學 中央警察大學「涉外執法政策與實務」學術研討會
中央警察大學 如何投稿《警察行政管理學報》？
中央警察大學 請問如何訂閱「警學叢刊」及「執法新知論衡」?
中央警察大學 法律服務社的法律諮詢
中央警察大學 問貴校犯罪防治系的出路為何？
中央警察大學 中央警察大學有沒有官方facebook臉書粉絲專頁？
中央警察大學 中央警察大學公共安全學系社會安全組與情報事務組之差異？
中央警察大學 體技學期總成績如何計算?
中央警察大學 請問貴校誠園藝廊可否對外開放參觀？
中央警察大學 如何參加中央警察大學行政警察學系舉辦的研討會？
