部門 問題
財團法人金融聯合徵信中心 什麼是信用？
財團法人金融聯合徵信中心 誰會來查您的「個人信用」資料？
財團法人金融聯合徵信中心 財團法人金融聯合徵信中心（簡稱聯徵中心）是什麼性質的機構？
財團法人金融聯合徵信中心 信用好對於個人會有什麼影響？
財團法人金融聯合徵信中心 信用不好對於個人會有什麼影響？
財團法人金融聯合徵信中心 您為何需要瞭解自己的信用狀況？
財團法人金融聯合徵信中心 哪些人可以向聯徵中心查詢資料？
財團法人金融聯合徵信中心 可不可以用電話查詢自己的信用資料？
財團法人金融聯合徵信中心 個人的信用資料會不會被任意曝光？
財團法人金融聯合徵信中心 如果要查詢自己的信用資訊或金融機構債權人清冊該 如何辦理？
財團法人金融聯合徵信中心 本人臨櫃申請信用報告或金融機構債權人清冊辦理方式？
財團法人金融聯合徵信中心 如何利用郵寄方式申請信用報告或金融機構債權人清冊？
財團法人金融聯合徵信中心 如何委託親友臨櫃申請信用報告或金融機構債權人清冊？
財團法人金融聯合徵信中心 本人到郵局申請「當事人綜合信用報告」（限中文版 ）或「金融機構債權人清冊」辦理方式？
財團法人金融聯合徵信中心 何謂「消費者債務清理條例」?
財團法人金融聯合徵信中心 何謂「債務清理條例前置協商專用債權人清冊」？
財團法人金融聯合徵信中心 「債務清理條例前置協商專用債權人清冊」內容有哪些？
財團法人金融聯合徵信中心 申請程序與一般當事人綜合信用報告有無不同？
財團法人金融聯合徵信中心 任何人都可以申請「前置協商」嗎？
財團法人金融聯合徵信中心 何謂「消費金融無擔保債務展延方案」？
財團法人金融聯合徵信中心 何謂「消費金融無擔保債務展延方案專用債權人清冊」？
財團法人金融聯合徵信中心 「消費金融無擔保債務展延方案專用債權人清冊」內容有哪些？
財團法人金融聯合徵信中心 何謂「消費金融無擔保債務」？
財團法人金融聯合徵信中心 申請程序與一般當事人綜合信用報告有無不同？
財團法人金融聯合徵信中心 何謂「還款困難之經濟弱勢債務人」(即符合申請本方案之條件)？
財團法人金融聯合徵信中心 個人的信用資料會不會被任意曝光?
財團法人金融聯合徵信中心 聯徵中心揭露利用信用資料有沒有一定的期限？
財團法人金融聯合徵信中心 聯徵中心建置之信用資料為何需要有揭露期限？
財團法人金融聯合徵信中心 聯徵中心各項信用資料之揭露期限多久？
財團法人金融聯合徵信中心 聯徵中心信用資料揭露期限中，其他信用不良紀錄指是什麼？
財團法人金融聯合徵信中心 聯徵中心是否會提供超過揭露期限之資料供銀行查詢？
財團法人金融聯合徵信中心 為何信用資訊揭露期滿後，向金融機構申請往來時仍有不良記錄？
財團法人金融聯合徵信中心 民眾債務清償後，信用不良紀錄可以馬上刪除嗎？
財團法人金融聯合徵信中心 當事人之就學貸款因更生方案履行完畢而債權消滅，是否符合「高級中等以上學校學生就學貸款辦法」(以下簡稱本辦法)第11條規定之「貸款完全償還」？
財團法人金融聯合徵信中心 何謂個人信用評分？
財團法人金融聯合徵信中心 個人信用評分之效益為何？
財團法人金融聯合徵信中心 其他國家是否有個人信用評分？
財團法人金融聯合徵信中心 企業該如何取得「信用評分」資訊？
財團法人金融聯合徵信中心 聯徵中心所提供之企業「信用評分」資訊是不是包含所有企業？
財團法人金融聯合徵信中心 為什麼信用評分為「固定評分」？
財團法人金融聯合徵信中心 申請含「企業信用評分」之企業信用報告需要多少查詢費？
財團法人金融聯合徵信中心 企業信用評分分數改變頻率為何？
財團法人金融聯合徵信中心 可否要求查詢先前某特定時點之信用評分？
財團法人金融聯合徵信中心 企業信用評分何時會提供主要原因說明？
財團法人金融聯合徵信中心 何謂信用資料不足？
財團法人金融聯合徵信中心 為何信用資料不足無法評分？
財團法人金融聯合徵信中心 查詢企業評分，若不予評分，是否代表該企業的信用風險很高？
財團法人金融聯合徵信中心 新業務查詢紀錄次數是如何計算的？
財團法人金融聯合徵信中心 為何新業務申請次數過多會造成評分較低？
財團法人金融聯合徵信中心 企業信用評分的滿分是幾分？
財團法人金融聯合徵信中心 企業信用評分會被任意曝光嗎？
財團法人金融聯合徵信中心 企業信用評分偏低之結果會一直存在嗎？
財團法人金融聯合徵信中心 企業信用評分除授信資料外，會採用其他聯徵中心所蒐集的資料嗎？
財團法人金融聯合徵信中心 當事人於發現信用資料有誤，應如何辦理？
財團法人金融聯合徵信中心 當金融機構或資產管理公司將債權轉讓與非屬前兩者之第三人，而債務人已與該債權人達成協議和解、清償全部債務，應如何辦理清償註記？
財團法人金融聯合徵信中心 票據拒絕往來紀錄未滿三年，但若因提前清償註記、提存備付、重提付訖等原因回復為正常戶時，應如何辦理?
財團法人金融聯合徵信中心 若發現聯徵中心資料庫之基本資料有誤時，我該如何辦理更正？
