部門 問題
勞動部職業安全衛生署 如果因為從事工作而感染COVID-19確診，是否需上網填報職業災害內容及統計?
勞動部職業安全衛生署 如果因為從事工作而感染COVID-19確診，是否須於8小時內通報勞檢機構?
勞動部職業安全衛生署 如果因為從事工作而感染COVID-19確診，是否屬職業安全衛生法之職業災害?
勞動部職業安全衛生署 具乙炔熔接裝置特殊作業安全衛生教育訓練結業證書者，得免接受一般安全衛生教育訓練中使用氧乙炔熔接裝置之訓練。
勞動部職業安全衛生署 勞工健康保護規則第3條及第4條所定之勞工人數，是否包含派遣勞工或承攬商之勞工？其健康管理該如何辦理？
勞動部職業安全衛生署 某第三類事業，工作據點分散在全台各地，其醫護人員如何配置？
勞動部職業安全衛生署 疫情期間事業單位臨場服務可否以視訊方式為之?
勞動部職業安全衛生署 事業單位專職護理人員得否兼任顧問服務機構兼職顧問人員？
勞動部職業安全衛生署 依110年12月22日修正之勞工健康保護規則第7條規定，是否影響已取得勞工健康服務醫護人員或相關人員資格者之權益？又該工作經驗如何認定？
勞動部職業安全衛生署 總公司與工廠危害性質不一其風險分類如何認定？
勞動部職業安全衛生署 勞工人數299以下之事業單位，得否將具獨立工廠登記之廠房與行政辦公室（不同縣市），分別以不同風險辦理健康服務？又其應向何處報備?
勞動部職業安全衛生署 某第一類事業單位勞工人數129人，從事特別危害作業者71人，醫師臨場服務頻率？
勞動部職業安全衛生署 勞工健康服務護理人員請假超過30日，委託特約機構派員代理，請問其臨場服務頻率如何計算？
勞動部職業安全衛生署 特約機構辦理勞工健康保護規則所定勞工健康服務事項，是否應幫其勞工健康服務醫護或相關人員辦理執業登記及支援報備
勞動部職業安全衛生署 新進人員體格檢查之時間？選工由雇主決定？
勞動部職業安全衛生署 原事業單位得否要求承攬商提供勞工個人健檢紀錄?
勞動部職業安全衛生署 雇主保存勞工健檢紀錄是否違反個人資料保護法?
勞動部職業安全衛生署 事業單位委託特約機構辦理臨場健康服務有何注意事項?
勞動部職業安全衛生署 勞工應自雇主指派擔任職務之日起，依規定年限接受該職類之安全衛生在職教育訓練
勞動部職業安全衛生署 職業安全衛生管理辦法第4條所稱雇主之代理人如何認定?
勞動部職業安全衛生署 高空工作車操作人員特殊作業安全衛生教育訓練問答集。
勞動部職業安全衛生署 勞工健康服務護理人員擔任急救人員，是否需接受急救人員安全衛生在職教育訓練疑義
勞動部職業安全衛生署 交通義勇警察於工程施工時從事協助道路交通指揮、疏導與管制等勤務，是否應納入事業單位同一工作場所勞工總人數計算?
勞動部職業安全衛生署 有關吊升荷重在1公噸以上斯達卡式起重機之操作人員資格疑義
勞動部職業安全衛生署 有關職業安全衛生委員會「應每3個月至少開會1次」區間之計算方式?
勞動部職業安全衛生署 一般勞工之安全衛生教育訓練，中央主管機關指定或認可之職業安全衛生教育訓練網路教學課程於何處上課？
勞動部職業安全衛生署 領有勞工安全衛生管理員結業證書，可否擔任營造業甲種職業安全衛生業務主管？
勞動部職業安全衛生署 勞工因疫情因素居家辦公，在家工作時如發生職業災害並通報，或提出申訴時，勞動檢查機構要如何進行檢查？
勞動部職業安全衛生署 疫情期間，職業安全衛生委員會是否需召開?
勞動部職業安全衛生署 居家工作發生如跌倒、燙傷等意外事故，是否屬職業安全衛生法之職業災害? 是否需8小時內通報勞檢機構?
勞動部職業安全衛生署 疫情期間，雇主指派勞工居家工作，如何保障勞工的職業安全衛生?
勞動部職業安全衛生署 因目前疫情升溫，一般安全衛生教育訓練可否比照在職教育訓練於年底前完成即可？
勞動部職業安全衛生署 有關「航空貨運承攬業」於職業安全衛生管理辦法之危害風險分類為何？
勞動部職業安全衛生署 有關醫療機構所置之職業安全衛生管理人員職責為何？
勞動部職業安全衛生署 職業安全衛生教育訓練受訓學員缺課如何補足課程時數？
勞動部職業安全衛生署 雇主對於預防職場所發生不法侵害事件之責任為何?勞工若遇到相關事件如何處理?
勞動部職業安全衛生署 如果有違反「辦理勞工體格與健康檢查醫療機構認可及管理辦法」之規定時，是否會受罰?
勞動部職業安全衛生署 辦理勞工健檢業務之醫事人員有異動或新增時，要如何報備?
勞動部職業安全衛生署 一般勞工之安全衛生在職教育訓練得否採線上網路教學方式?
勞動部職業安全衛生署 新進勞工之一般安全衛生教育訓練得否採線上直播方式?
勞動部職業安全衛生署 職業安全衛生委員會召開得否採視訊等方式？
勞動部職業安全衛生署 勞動部如何協助食品外送業者，依修正後職業安全衛生設施規則規定辦理?
勞動部職業安全衛生署 勞動部109年3月修正公布職業安全衛生設施規則後，食品外送業者未依規定辦理之罰則為何?
勞動部職業安全衛生署 在職勞工定期健康檢查需於何時完成？
勞動部職業安全衛生署 勞工依勞工健康保護規則規定，參加公司辦理的定期健康檢查，要請何種假別?
勞動部職業安全衛生署 物流業者以倉庫儲存置放優先管理化學品，是否需報備？
勞動部職業安全衛生署 事業單位若聘僱從事勞工健康服務之護理人員，其薪資應為多少較合理?
勞動部職業安全衛生署 職安法於103年7月3日上路，第22條有「事業單位勞工人數在50人以上者，應僱用或特約醫護人員」規定，但沒有說明企業何時要開始做?
勞動部職業安全衛生署 若因特約之醫師臨時有事或因原約定時間適逢國定假日，該月之臨場服務如何安排？
勞動部職業安全衛生署 危害性化學品標示及通識規則第16條所稱危險物品運送人員專業訓練之相關課程，有哪些課程？
勞動部職業安全衛生署 事業單位勞工人數在299人以下者，若優於法規全職僱用護理人員辦理臨場健康服務，該護理人員得否兼辦其他與勞工健康服務無關之工作
