部門 問題
勞動部勞動基金運用局 勞動基金運用局運用的基金種類包含哪些？
勞動部勞動基金運用局 勞動基金運用局內部組織與分工？
勞動部勞動基金運用局 勞動基金規模龐大，在投資時如何做好風險管理？
勞動部勞動基金運用局 監理會如何運作及監理基金投資業務？
勞動部勞動基金運用局 在舊制勞退基金政府是否有提供保證最低收益？如何查詢？
勞動部勞動基金運用局 新制勞退基金政府是否也有提供保證最低收益？如何查詢？
勞動部勞動基金運用局 農退基金政府是否也有提供保證最低收益？
勞動部勞動基金運用局 新制退休金制度有收益分配，我要怎麼知道我的退休金分配到多少收益？
勞動部勞動基金運用局 適用新制退休金制度之勞工個別專戶收益金額如何計算？
勞動部勞動基金運用局 若勞退基金運用產生虧損時怎麼辦？會影響我的退休金（本金）嗎？
勞動部勞動基金運用局 有關各基金每年的規模與收益率等經營概況，可以到哪裡查詢？
勞動部勞動基金運用局 有關各基金過去每年及最新的投資運用情形，可由何處得知呢？
勞動部勞動基金運用局 勞動基金投資運用時是否有將企業社會責任列為投資準則？
勞動部勞動基金運用局 勞動基金運用局為何要辦理國內外投資委託經營？
勞動部勞動基金運用局 勞動基金運用局執行委託經營業務時，受託機構評選之方式為何？
勞動部勞動基金運用局 勞動基金運用局執行委託經營業務時，如何遴選評審小組？
勞動部勞動基金運用局 國內委託經營受託機構應具備之條件為何？
勞動部勞動基金運用局 國外委託經營受託機構應具備之條件為何？
勞動部勞動基金運用局 國內外委託投資帳戶如何評估經營績效？
勞動部勞動基金運用局 勞動基金投資股市，是否會受到外部人士干預？
勞動部勞動基金運用局 勞動基金運用局內部人員是否訂有利益迴避措施？
