部門 問題
國家通訊傳播委員會 電信頻率使用費繳納方式為何？若逾期，其繳交方式為何？
國家通訊傳播委員會 請問業餘無線電人員資格測試考試地址為何？參加考試需要帶什麼文件？
國家通訊傳播委員會 本會組織調整後相關業務銜接及聯絡窗口
國家通訊傳播委員會 我的車子加裝無線電車機，是否違法？
國家通訊傳播委員會 請問如何申請業餘無線電臺執照？
國家通訊傳播委員會 請問固定式業餘無線電臺審驗應如何申請？
國家通訊傳播委員會 請問業餘無線電人員資格測試題庫要如何取得？
國家通訊傳播委員會 請問業餘無線電人員執照屆期如何辦理換發？
國家通訊傳播委員會 行動式業餘無線電臺執照逾期可否換發？如何辦理？
國家通訊傳播委員會 業餘無線電人員資格測試是否有練習題目的網頁?
國家通訊傳播委員會 請問如何申請電信管制射頻器材進口核准證？
國家通訊傳播委員會 請問申請電信管制器材製造核准需檢附哪些文件？
國家通訊傳播委員會 各種申辦業務及必備要件及事項在何處網頁可以查得？
國家通訊傳播委員會 可以在線上申辦進口核准證嗎？如何辦理？
國家通訊傳播委員會 那些產品需要做型式認證後才可以在國內公開陳列販售？
國家通訊傳播委員會 廠商如何申請型式認證？
國家通訊傳播委員會 國內廠商製造、販賣電信管制射頻器材於國內市場，有何限制。
國家通訊傳播委員會 RCB:09605069，主旨：申請者使用容易混淆不清的設備名稱，請NCC裁示是否準允使用。
國家通訊傳播委員會 RCB:09511058，主旨：5.470~5.725GHz的UNII器材是否能恢復受理並發證?
國家通訊傳播委員會 RCB:09511059，主旨：123kHz RFID 器材的測試擺設方式討論
國家通訊傳播委員會 RCB:09511060，主旨：大型機具或特定工廠、場所所使用的低功率射頻電機，有別於一般認知的低功率射頻電機產品，對此類個案定義實驗室申請現場測試的許可。
國家通訊傳播委員會 RCB:09511061，主旨：2.4G Wireless AP或Gateway具有PCMCIA的插槽可插入3G卡提供上網功能，在申請國內產品認證時，應視為TTE產品還是LP產品?
國家通訊傳播委員會 RCB:09511062，主旨：目前國內未有VDSL的產品認證，將如何受理該產品之申請?
國家通訊傳播委員會 RCB:09601063，主旨：請問，含(1)主機、(2)無線電話機及(3)USB接收器之Skype DECT有線電話無線主副機之設備，該如何提出申請? 審驗費如何計算? 技術規範之要求為何? 證書登記內容為何?
國家通訊傳播委員會 RCB:09601064，主旨：請問：欲以傳真卡模組方式申請TTE審驗，其申請主體認定為何?
國家通訊傳播委員會 RCB:09601065，主旨：請問：5.765~5.84GHz之有線電話無線主副機應如何申請型式認證?
國家通訊傳播委員會 RCB:09601066，主旨：對於內含數個不同射頻模組且已取得認證之產品，當拿掉其中某(幾)個射頻模組時，可同意以系列方式申請認證。
國家通訊傳播委員會 RCB:09601067，主旨：電信終端設備引用的EMC及SAFETY檢測標準(CNS 13438及CNS14336)相關問題
國家通訊傳播委員會 RCB:09605068，主旨：依【審驗一致性意見提案處理單950857附件二】，就VOIP設備適用技術規範及審驗費用提出修正建議如附。
國家通訊傳播委員會 RCB:09610071，主旨：SIP(System In Package)型態的2.4/5GHz WLAN器材是否能以完全模組方式申請型式認證?
國家通訊傳播委員會 RCB:09610072，主旨：已通過認證之產品，如果硬體功能與結構完全相同，只有差別在韌體，例如增加DFS功能，做系列申請申請時，是否可用原ID
國家通訊傳播委員會 RCB:09610073，主旨：低功率射頻電機產品申請增列天線(gain值比原本小、天線型式不變)或改變power adapter等產品外部配件，是否以系列模式申請。
國家通訊傳播委員會 RCB:09610074，主旨：植入式醫療器材不符合LP技術規範4.11節規定，但符合LP技術規範2.7及2.8節規定，是否仍須置於組織液中量測。
國家通訊傳播委員會 RCB:09508054，主旨：10.5GHz車輛偵測器，檢附的國外測試報告是否須包含發射模式及接收模式的測試結果？
國家通訊傳播委員會 RCB:09508055，主旨：電信終端設備列管電池和充電
國家通訊傳播委員會 RCB:09508056，主旨：低功率設頻電機技術規範3.10.1節Band edge測試，採用FCC 所公佈的另一種 Band edge測試方法—delta mark.
國家通訊傳播委員會 RCB:09508057，主旨：VOIP電話於國內市場出現蓬勃發展，須明白定義測試項目，規範法規，供國內測試實驗室及驗證機構依循。
國家通訊傳播委員會 RCB:09506050，主旨：對於內含多個不同頻段射頻模組之產品，其射頻簡化功能機種應同意系列申請。
國家通訊傳播委員會 RCB:09503044，主旨：目前手機內建WLAN，WLAN須依RTTE01 要求及測 SAR相關規定?
國家通訊傳播委員會 RCB:09503045，主旨：DGT新的SAR法規為 CNS14959, 測試方法為CNS14958-1; 可以接受用FCC或歐洲SAR轉的報告嗎?
國家通訊傳播委員會 RCB:09503046，主旨：2.4GHz採跳頻系統(FHSS)調變技術的器材，若輸出功率較低時，是否可引用LP0002第3.10.2節來檢測?
國家通訊傳播委員會 RCB:09506047，主旨：申請型式認證案件的分類及相關規定
國家通訊傳播委員會 RCB:09506048，主旨：具電信終端設備功能之複合性產品，接受日本EMC實驗室發出的報告說明
國家通訊傳播委員會 RCB:09506049，主旨：2.4GHz射頻電信終端設備技術規範(RTTE01)5.1.3.1.1跳頻系統之載波頻道間隔是否比照低功率射頻技術規範(LP0002)修正
國家通訊傳播委員會 RCB:09503042，主旨：廠商申請GSM/DCS審驗時須附IMEI (TAC)唯一碼保證書及其他相關問題
國家通訊傳播委員會 RCB:09503043，主旨：2.4GHz VoIP Phone若採用 GFSK數位調變技術，6dB Bandwidth小於500kHz認證規定?
國家通訊傳播委員會 RCB:09506051，主旨：依電信終端設備審驗辦法第20條第2項第1款及第2款廢止審定證明之電信終端設備其屬同一系列之產品是否視同為不符合規定之設備予以廢止審定證明
國家通訊傳播委員會 RCB:09506052，主旨：有關IP之相關產品是否可受理型式認證
國家通訊傳播委員會 RCB:09506053，主旨：有關GSM手機隨附之電源供應器(或稱充電器)，，是否應納入1.6.2節判定依據，提請討論
國家通訊傳播委員會 RCB:09403003，主旨：測試報告諧波10倍頻測試，５倍頻以後測不到數據時報告是否可簡化？
國家通訊傳播委員會 RCB:09403004，主旨：變更改產品外觀是否屬系列認證探討？
國家通訊傳播委員會 RCB:09404005，主旨：LP 3.10.1(5)發射限制;使用頻帶範圍外之任意100kHz規定定義
國家通訊傳播委員會 RCB:09404006，主旨：射頻電機技術規範3.10.1(6)(6.1.1)跳頻系統之載波頻道間隔是否須修正?
國家通訊傳播委員會 RCB:09404007，主旨：申請販賣用電信管制射頻器材型式認證補充說明？
國家通訊傳播委員會 RCB:09404008，主旨：射頻電機技術規範LP0002(93年9月)4.7節UNII產品定義測試方式
國家通訊傳播委員會 RCB:09404009，主旨：對於module認證及其系列型式申請規費及其定義共識及結論.
國家通訊傳播委員會 RCB:09404010，主旨：DECT、RFID等產品,,如何確保其未來市場銷售時符合我國相關技術規範。
國家通訊傳播委員會 RCB:09406011，主旨：2.4GHz/5GHzWLAN +Bluetooth+GSM雙頻道智慧PDA手機的測試法規，需依照何法規執行?
國家通訊傳播委員會 RCB:09406012，主旨：檢測TTE或LP器材時，應先取得廠商同意後，才能拆開器材進行照相或焊接零件。
國家通訊傳播委員會 RCB:09406013，主旨：探討SAR及MPE測試實施可行性
國家通訊傳播委員會 RCB:09406014，主旨：對於終端設備認證（有關節費器認證），因使用者用法不同致發生違法事件。
國家通訊傳播委員會 RCB:09406015，主旨：無線簡報器一組，各分別有Tx及Rx，是使用申請同一個ID？或者分別申請一個ID？
國家通訊傳播委員會 RCB:09406016，主旨：無線家用防盜器一組，包括Rx一個及Tx 數個，是申請一個ID？或分別申請一個ID？
國家通訊傳播委員會 RCB:09406017，主旨：13.56MHz的被動式RFID Tag 是否可以比照922~928MHz被動式標籤不必測試？
國家通訊傳播委員會 RCB:09406018，主旨：不同介面終端設備是否得使用同一廠牌型號？
國家通訊傳播委員會 RCB:09407019，主旨：實驗室或驗證機構向DGT函請判定是否符合模組認證時，應檢附相關文件為何？
國家通訊傳播委員會 RCB:09407020，主旨：是否取消LP0002審驗證明書中之製造廠商欄位？
國家通訊傳播委員會 RCB:09407021，主旨：LP0002之完全模組測試及審驗方式應有明確的定義
國家通訊傳播委員會 RCB:09407022，主旨：射頻電機技術規範第4.5.7節音頻響應是否需符合TIA-603-B第3.2.6節之Mask？
國家通訊傳播委員會 RCB:09409023，主旨：低功率射頻電機型式認證申請人為外國製造商，是否可擴大解釋為平台內裝RF製造商？
國家通訊傳播委員會 RCB:09409025，主旨：審驗合格標籤是否一定需要標示於產品本體?
國家通訊傳播委員會 RCB:09409026，主旨：筆記型電腦內含WLAN Card已取得型式認證 ID，當不含WLAN Card時可否將審驗合格 ID 標示於筆記型電腦上?
國家通訊傳播委員會 RCB:09410027，主旨：當平台使用於固定式點對點操作且發射功率及天線增益總合超過36dBi時補充規定。
國家通訊傳播委員會 RCB:09409028，主旨：無線簡報器是否歸類為收發信機(Transceiver)，測試時須個別量測發射及接收模式?
國家通訊傳播委員會 RCB:09410029，主旨：VoIP Phone及 2.4 GHz WLAN功能結合 產品(VoIP Wi-Fi Phone)歸類及SAR/MPE?
國家通訊傳播委員會 RCB:09410030，主旨：低功率射頻電機器材若經變動或修改時，要原廠出具證明？
國家通訊傳播委員會 RCB:09409031，主旨：BSMI認可國外實驗室，是否可接受其測試報告？
國家通訊傳播委員會 RCB:09410032，主旨：行動電話機電氣安全檢驗項目與其他電信終端設備引用標準是否更為一致？
國家通訊傳播委員會 RCB:09502033，主旨：SAR新標準的測試及審核認定一致性
國家通訊傳播委員會 RCB:09502034，主旨：建議於無線電信終端設備技術規範加入有關警語之相關要求。
國家通訊傳播委員會 RCB:09502035，主旨：己審驗合格之電信終端設備於變更備查時，應收取審驗費?
國家通訊傳播委員會 RCB:09502036，主旨：己審驗合格之電信終端設備，於新增電源轉接器時，檢附要求?
