部門 問題
臺北市政府捷運工程局 工地發生緊急及意外事故時，其通報作業流程為何？
臺北市政府捷運工程局 工程管理>捷運在建工程(施工中)各線預定完工年期？
臺北市政府捷運工程局 工程管理>捷運為何被允許在半夜施工？
臺北市政府捷運工程局 北環段CF680A工程出土段路線為何?
臺北市政府捷運工程局 北環段CF680A工程潛盾作隧道遭遇之困難及挑戰?
臺北市政府捷運工程局 交通維持>目前臺中捷運計畫之目標為何？對於整體工程，管控機制為何？
臺北市政府捷運工程局 交通維持>何謂「植物園遺址」？與捷運萬大線LG02植物園站工程有何關係？
臺北市政府捷運工程局 交通維持>為何臺北市政府捷運工程局會去臺中興建捷運工程？
臺北市政府捷運工程局 交通維持>捷運信義線東延段工程發包施工現況及目前辦理進度？
臺北市政府捷運工程局 交通維持>捷運信義線東延段工程範圍及廣慈/奉天宮站位置？
臺北市政府捷運工程局 交通維持>捷運信義線東延段的主要工程內容及特色為何？
臺北市政府捷運工程局 交通維持>捷運南環段工程將在何時動工及完工期程為何？
臺北市政府捷運工程局 交通維持>捷運南環段工程路線範圍為何？
臺北市政府捷運工程局 "交通維持>捷運萬大線LG01~ LG05車站工程發包施工現況及完工期程？"
臺北市政府捷運工程局 交通維持>捷運萬大線工程路線範圍為何？
臺北市政府捷運工程局 交通維持>捷運萬大線及信義線東延段動工後，如何減輕對周邊的交通及居民生活環境造成影響？
臺北市政府捷運工程局 交通維持>捷運萬大線各車站的主要工程內容及特色為何？
臺北市政府捷運工程局 交通維持>捷運萬大線南昌路人行道削減作業，發現水溝壁體為台北城牆石組成，施工期間及完工後之後續處理方式為何？
臺北市政府捷運工程局 交通維持>捷運萬大線第一期工程，第二區工程處所負責監造之工程範圍及車站位置？
臺北市政府捷運工程局 交通維持>捷運萬大線第一期完工通車後與其他路線之交會轉乘站各為何?
臺北市政府捷運工程局 交通維持>捷運萬大線第二期內容與特色？
臺北市政府捷運工程局 交通維持>捷運萬大線第二期目前辦理期程為何？
臺北市政府捷運工程局 交通維持>臺中捷運綠線已於110年4月通車營運，但是包括臺鐵高架化後及機場捷運營運後，都發生沿線居民抗議噪音的事件，這部分問題是否會在臺中捷運發生？
臺北市政府捷運工程局 交通維持>臺中捷運綠線的完成，將帶來那些效益？
臺北市政府捷運工程局 交通維持>臺中都會區大眾捷運系統烏日文心北屯線在工程進行中碰到最大的困難是什麼？如何去克服並達成目標？
臺北市政府捷運工程局 交通維持>請說明捷運萬大線有四個車站施工位置鄰近小學校區，施工期間交通維持與維護學童上、下課安全措施為何。
臺北市政府捷運工程局 交通維持>請說明萬大線及信義線東延段施工期間如何管理及防治施工噪音與振動。
