部門 問題
衛生福利部疾病管制署 國際港埠入境檢疫者應於檢疫期滿當日執行1次快篩，另提供備用快篩試劑1支，於檢疫期間出現症狀時使用。
衛生福利部疾病管制署 由於目前市面上及國際港埠公費發放之快篩試劑適用年齡均為2歲以上，針對未滿2歲者或家長無法協助孩童採檢者或其他因故無法自行操作者，應如何執行居家隔離或檢疫期滿之快篩檢測?
衛生福利部疾病管制署 我在工作場所或從事社交或戶外活動時接到衛生單位電話通知匡列為居家隔離對象，該怎麼做?
衛生福利部疾病管制署 於隔離或檢疫期間，遇緊急災害是否可離開？
衛生福利部疾病管制署 入境旅客檢疫期間確診，後續經符合現行解除隔離治療條件予以解除隔離，是否需續完成剩於居家檢疫天數？
衛生福利部疾病管制署 COVID-19疫苗接種證明文件
衛生福利部疾病管制署 COVID-19公費檢驗適用對象常見問與答
衛生福利部疾病管制署 我是COVID-19確診者(或是確診者家屬)，如何申請我(或家人)的COVID-19確診者個案資料?
衛生福利部疾病管制署 確診個案解除隔離治療返家後，其接觸者如有生活上共同照顧之需求，須由該確診個案在家中照顧，該確診個案是否需再進行居家隔離?
衛生福利部疾病管制署 曾確診且已康復及解除隔離治療個案，再次接觸確診個案是否需居家隔離?
衛生福利部疾病管制署 提升疫情警戒相關問答輯
衛生福利部疾病管制署 有關教育部自110年2月8日起重新受理申請之大專校院境外生專案入境者，於居家檢疫期滿後採檢Q&A
衛生福利部疾病管制署 接觸者進行快篩檢測相關問答輯
衛生福利部疾病管制署 接觸者居家(個別)隔離相關措施問答輯
衛生福利部疾病管制署 高感染傳播風險場域強制佩戴口罩Q&A
衛生福利部疾病管制署 越南、泰國籍產業類移工，自109年12月10日起，於居家檢疫期後翌日至採檢醫院採檢Q&A
衛生福利部疾病管制署 自主健康管理期間應遵守事項問答輯
衛生福利部疾病管制署 預防COVID-19入境檢疫措施
衛生福利部疾病管制署 集中檢疫外籍移工於解除檢疫前採檢常見問與答
衛生福利部疾病管制署 境外確診個案返臺常見Q&A
衛生福利部疾病管制署 自111年3月7日起居家檢疫之檢疫場所調整為1人1戶相關問答輯
衛生福利部疾病管制署 「開放非本國籍人士(含外籍人士、大陸人士及港澳人士)入境」之邊境檢疫措施常見Q&A
衛生福利部疾病管制署 衛生福利機構與榮譽國民之家因應COVID-19(武漢肺炎)訪客管理作業原則常見Q&A
衛生福利部疾病管制署 哪些人會被匡列為密切接觸者?
衛生福利部疾病管制署 入境檢疫系統之「檢疫居所」及防疫旅宿代碼相關問題Q&A
衛生福利部疾病管制署 在集中檢疫場所工作被感染的風險高嗎? 
衛生福利部疾病管制署 住在集中檢疫場所附近的民眾有感染的風險嗎?
衛生福利部疾病管制署 請問這些入住集中檢疫場所的對象就是嚴重特殊傳染性肺炎病人嗎?
衛生福利部疾病管制署 為什麼要設立集中檢疫場所? 
衛生福利部疾病管制署 什麼樣的對象要住進集中檢疫場所?
衛生福利部疾病管制署 如果我知道的我的同班同學是 2019新型冠狀病毒病人，出院之後，現在要回來上課，我該怎麼辦?
衛生福利部疾病管制署 如果我的同班同學是居家隔離者，我該怎麼辦?
衛生福利部疾病管制署 實驗室處理嚴重特殊傳染性肺炎（COVID-19）檢體常見問與答
衛生福利部疾病管制署 COVID-19診所感染管制常見問與答
衛生福利部疾病管制署 COVID-19醫療機構感染管制常見問與答
衛生福利部疾病管制署 2019年新型冠狀病毒要怎麼消毒?
衛生福利部疾病管制署 如果一定要去有疫情的地區，要怎麼保護自己？
衛生福利部疾病管制署 怎麼診斷2019新型冠狀病毒？
衛生福利部疾病管制署 要在哪裡可以看國內最新疫情變化及防疫建議？
衛生福利部疾病管制署 要在哪裡看到國際疫情？
衛生福利部疾病管制署 2019新型冠狀病毒的潛伏期是多久？
衛生福利部疾病管制署 除了上呼吸道症狀，2019新型冠狀病毒感染者還可能有其他的症狀嗎？
衛生福利部疾病管制署 搭乘大眾交通工具的時候，需要擔心2019新型冠狀病毒感染嗎？
衛生福利部疾病管制署 感染2019新型冠狀病毒要怎麼治療？
衛生福利部疾病管制署 我要怎麼預防感染2019新型冠狀病毒？
衛生福利部疾病管制署 感染2019新型冠狀病毒會有什麼症狀？會很嚴重嗎？
衛生福利部疾病管制署 2019新型冠狀病毒怎麼傳播？
衛生福利部疾病管制署 2019新型冠狀病毒是什麼？是怎麼被發現的？
衛生福利部疾病管制署 動物的冠狀病毒感染會傳染給人類造成疾病嗎？怎麼傳給人類？
衛生福利部疾病管制署 冠狀病毒會造成動物的疾病嗎？
衛生福利部疾病管制署 冠狀病毒屬會造成什麼樣的人類疾病？
衛生福利部疾病管制署 什麼是冠狀病毒？
衛生福利部疾病管制署 如果沒有收到通知回報檢疫期滿當日快篩結果的簡訊，我應該怎麼辦？
衛生福利部疾病管制署 接觸者何時做快篩檢測?
衛生福利部疾病管制署 哪些人須進行家用快篩試劑檢測？
衛生福利部疾病管制署 請問要如何取得快篩試劑？
衛生福利部疾病管制署 試劑費用由誰支付？
衛生福利部疾病管制署 如未領到快篩試劑、試劑內容物不完整，或因不小心遺失、操作不當等情況導致無法完成快篩，可以補發嗎？
衛生福利部疾病管制署 如果我的快篩結果為陽性，應該怎麼辦？
衛生福利部疾病管制署 如果我的快篩結果為不明（無法判定結果），應該怎麼辦？
衛生福利部疾病管制署 如果我的快篩結果為陰性，是不是就可以解除居家隔離或自主防疫了？
衛生福利部疾病管制署 我不太會操作快篩試劑怎麼辦？
衛生福利部疾病管制署 快篩試劑檢測完該怎麼處理？
衛生福利部疾病管制署 於家中進行居家（個別）隔離，實行「1人1室」，何謂「1人1室」？
衛生福利部疾病管制署 於家中進行居家（個別）隔離，若家中有非隔離者，是否可於家中進行隔離？
衛生福利部疾病管制署 於家中進行居家（個別）隔離，若需要生活支持與協助，該如何處理？
衛生福利部疾病管制署 家中頂樓加蓋或增建物可否作為居家（個別）隔離場所？
衛生福利部疾病管制署 我在外租房，同樓層為2間併連雅房，共用同一門牌，可否在其中1間雅房居家（個別）隔離（另1間為非隔離者）？
衛生福利部疾病管制署 公司租用獨棟宿舍專為提供居家（個別）隔離員工進行隔離，是否可在該獨棟宿舍進行隔離？
