部門 問題
衛生福利部社會及家庭署 為何給有保母資格的爺奶照顧自己孫子只能領2,500元，照顧別人可以領6,000元？
衛生福利部社會及家庭署 育兒津貼及托育補助為何要設排富機制？為何要排除請領育嬰留職停薪津貼的家庭？
衛生福利部社會及家庭署 保母托育費用補助可以跟育嬰留職停薪津貼一起領嗎 
衛生福利部社會及家庭署 若家長或保母不實支領，除繳回溢領款，可能需哪些法律責任 
衛生福利部社會及家庭署 政府對未成年少女懷孕提供服務措施為何?
衛生福利部社會及家庭署 特殊境遇家庭扶助要向哪個單位申請?
衛生福利部社會及家庭署 特殊境遇家庭扶助項目
衛生福利部社會及家庭署 申請特殊境遇家庭扶助應符合哪些條件？
衛生福利部社會及家庭署 托嬰中心查詢
衛生福利部社會及家庭署 托育人員資格「幼兒保育、家政、護理相關科系」認定對照表(另開視窗)
衛生福利部社會及家庭署 單親家庭是屬於本項補助所稱的弱勢家庭嗎
衛生福利部社會及家庭署 家長如何找合格的托育人員
衛生福利部社會及家庭署 收退費項目及基準
衛生福利部社會及家庭署 收托人數的規定與樣態為何
衛生福利部社會及家庭署 加入居家托育服務單位(原社區保母系統)的條件是什麼？
衛生福利部社會及家庭署 地方政府核撥家庭托育費用時，是否需要申請人簽章之印領清冊或領據
衛生福利部社會及家庭署 幼童為外籍，或父母有一方為外籍人士是否可申請
衛生福利部社會及家庭署 倘不符合托育費用補助資格或無意願申請補助，仍應接受居家托育服務單位(原社區保母系統)輔導?
衛生福利部社會及家庭署 幼兒由父母自己照顧可以申請托育補助嗎
衛生福利部社會及家庭署 父母（或監護人）固定每週僅部分時間送托是否可申請托育補助
衛生福利部社會及家庭署 分居夫妻一方無法取得另一方所得證明，可否以單親家庭辦理
衛生福利部社會及家庭署 未成年懷孕諮詢
衛生福利部社會及家庭署 離婚後，我想要孩子的監護權，該如何處理？
衛生福利部社會及家庭署 法院為監護權裁判時，判斷的標準有哪些？
衛生福利部社會及家庭署 如果是我取得子女的監護權，可是對方卻拒絕負擔扶養費用，該怎麼辦？
衛生福利部社會及家庭署 如何減少離婚對孩子造成的傷害？如果孩子有行為問題的時候，無監護權的父/母親該如何提供協助？
衛生福利部社會及家庭署 我在前次婚姻未結束時，便懷有現任先生的孩子，法律上推定孩子為前夫的，我如何讓孩子可以跟著現任先生的姓? 
衛生福利部社會及家庭署 孩子被收養後是否需要改姓?
衛生福利部社會及家庭署 我和男友都未滿20歲，不小心懷孕了，現在我和男友決定要把小孩交給別人收養，但不希望這樣的事情讓我們的父母知道，請問可行嗎?
衛生福利部社會及家庭署 我女兒未婚懷孕，年紀輕也沒有扶養能力，我們決定將孩子出養給有心人，但我不想讓我的女兒留下任何與孩子有關的紀錄，想請問這是可行的嗎?
衛生福利部社會及家庭署 離婚後孩子監護權歸我，還需要前夫的同意才能出養孩子嗎？
衛生福利部社會及家庭署 如對收出養方面有任何疑問，可以向哪些單位洽詢？
衛生福利部社會及家庭署 要去哪裡找到收出養媒合機構?
衛生福利部社會及家庭署 有哪些文件會看得出來孩子是被收養的嗎?
衛生福利部社會及家庭署 我可以與出養人私下約定好再辦理收養手續嗎？
衛生福利部社會及家庭署 我想要收養小孩，請問該如何辦理相關收養手續？
衛生福利部社會及家庭署 誰可以聲請出養?有沒有資格或是年紀上的限制?我該注意什麼?
衛生福利部社會及家庭署 我無法扶養孩子，想把孩子給有心人士收養，請問有哪些機構提供協助？
衛生福利部社會及家庭署 兒童及少年福利權益與保障法修法施行後，對收養制度有哪些重大改變？
衛生福利部社會及家庭署 什麼是「收養」？它與「寄養」、「認養」、「認領」有何不同？
衛生福利部社會及家庭署 外國籍人士收養我國籍兒童及少年程序?
衛生福利部社會及家庭署 外國長輩如何申請馬偕計畫?
衛生福利部社會及家庭署 如何申請老人福利活動補助?
衛生福利部社會及家庭署 如何申請長照服務?
衛生福利部社會及家庭署 如何選擇老人福利機構？
衛生福利部社會及家庭署 如何設立老人福利機構?
衛生福利部社會及家庭署 如何申請中低收入老人假牙裝置補助？
衛生福利部社會及家庭署 如何申請中低收入老人生活津貼？
衛生福利部社會及家庭署 如何成立全國性財團法人社會福利基金會？
衛生福利部社會及家庭署 如何知道各地方縣市政府婦女福利服務中心的聯絡資訊？
衛生福利部社會及家庭署 如何查詢全國各縣市婦女團體資訊？
衛生福利部社會及家庭署 如何查詢婦女福利服務中心服務手冊及培力婦女團體工作指南手冊？
衛生福利部社會及家庭署 《公共場所親子廁所盥洗室設置地點》問答集
衛生福利部社會及家庭署 2-4歲育兒津貼該如何申請?
