部門 問題
外交部領事事務局 為什麼首次申請護照須親自辦理？
外交部領事事務局 世界主要國家都有實施護照親辦嗎？
外交部領事事務局 何謂「首次申請護照親辦」？
外交部領事事務局 首次申請護照親辦，對未滿14歲或受監護宣告的申請人有什麼特別規定？
外交部領事事務局 何謂到戶政事務所辦理「人別確認」？應備文件及流程為何？
外交部領事事務局 至戶政事務所辦理「人別確認」查核過的簡式護照資料表，有效期限多長？
外交部領事事務局 首次申請護照民眾至戶政事務所辦理人別確認時，是否可以一併在戶政事務所申請護照，由戶政事務所收件辦理？
外交部領事事務局 何謂「首次申請護照親辦一處收件全程服務」?
外交部領事事務局 首次申請護照的民眾，都可以透過戶所「首次申請護照親辦一處收件全程服務」申請護照嗎？
外交部領事事務局 請問到戶所透過「首次申請護照親辦一處收件全程服務」申請護照，應準備什麼文件?
外交部領事事務局 請問到戶所透過「首次申請護照親辦一處收件全程服務」申請護照，選擇郵寄到指定地址的郵資如何計算？
外交部領事事務局 請問至戶所透過「首次申請護照親辦一處收件全程服務」申請護照，如果被通知需要補件，應如何處理？
外交部領事事務局 請問到戶所透過「首次申請護照親辦一處收件全程服務」申請護照，如果遺失「繳款暨證明單」，要如何繳交護照規費？
外交部領事事務局 請問到戶所透過「首次申請護照親辦一處收件全程服務」申請護照並完成繳費後，如急需使用護照，應該如何處理？
外交部領事事務局 如果勾選到戶所領護照，已經繳費卻遺失「繳款暨證明單」，怎麼領護照？
外交部領事事務局 請問透過「首次申請護照親辦一處收件全程服務」申請護照並選擇到戶所領取新護照，多久內要去領取？如果忘記去領護照怎麼辦？
外交部領事事務局 請問如果以「首次申請護照親辦一處收件全程服務」申請護照，之後收到通知無法辦理，那已經繳納的規費怎麼處理？
外交部領事事務局 在戶所首次申辦護照會不會有需要匯款補繳費用的情形？
外交部領事事務局 若未曾申辦護照而急需使用護照，應如何辦理比較快？
外交部領事事務局 尚未領有「專任送件人員識別證」的旅行業者，要如何以書面向本局提出申請「旅行社團件申辦護照網路填表及照片上傳系統」的帳號及密碼？
外交部領事事務局 旅行社受民眾委任代辦護照申請案的送件流程為何？
外交部領事事務局 外交部及戶政事務所受理首次申請護照案件之時間為何？
外交部領事事務局 如果對相關規定有不清楚的地方，是否有電話可以洽詢？
外交部領事事務局 我想要透過MyData臨櫃核驗列印服務下載申辦護照所須的戶籍或親屬關係證明文件，應該要怎麼做呢？
