部門 問題
教育部 因應未來政府再次公告應符合室內空氣品質管理辦法之公告場所，學校應該怎麼做？
教育部 室內空氣品質公告場所之定期檢測怎麼做？
教育部 室內空氣品質公告場所之應符合法定事項為何？
教育部 室內空氣品質量測二氧化碳的目的？
教育部 學校常見室內空氣品質不佳的區域、原因及改善措施為何？
教育部 學校如何改善室內空氣品質或降低室內空氣品質污染物產生？
教育部 如何通報空氣污染事件？
教育部 空氣污染物對人體的危害？
教育部 空氣品質指標(AQI)達『紫色／褐紅色等級』時，該怎麼做？
教育部 空氣品質指標(AQI)達『紅色等級』時，該怎麼做？
教育部 空氣品質指標(AQI)達『橘色等級』時，該怎麼做？
教育部 什麼是空氣品質指標 (Air Quality index, AQI)？
教育部 如何查詢空氣品質情況？
教育部 教育法人如何辦理變更登記與經費保留
教育部 向本部申請設立教育基金會之最低基金總額須為多少？
教育部 設立文教基金會之申請文件中董事名冊之董事資格要件為何？
教育部 申請設立教育基金會應提出哪些文件？
教育部 申請補發閩南語語言能力認證證書
教育部 精進計畫為推動十二年課綱之重要計畫，建議108學年度精進計畫應於108年7月底前完成核定，以利全學年計畫之執行。 精進與教專整合皆是為了推動新課綱，但經費(如:教專助理的薪資)卻無法整合，是否回歸原執行方式?(綜合性問題)
教育部 部分教師對自己所屬領域的課綱一知半解，對於新舊課綱間的落差或差異並不甚清楚，各縣市雖辦了不少新課綱研習或工作坊，但並不是各學校在校內經費或教師人力上，都能夠支付讓老師們多多出去研習進修新課綱相關議題。(綜合性問題)
教育部 教師對於「何謂素養導向」仍滿頭問號，若一直以舊式教學方法去教導學生，則會讓學生背了一堆知識卻不知怎麼運用，因此盼能多推動這部分的教師增能研習。(綜合性問題)
教育部 實施國中小協同教學所衍生之經費龐大，各縣市政府恐無法負擔；前聞國教署已研議由各縣市因員控所賸餘之差額經費支應，並委請部分縣市進行設算。因新課綱上路在即，惟在經費來源未確認前，各縣市政府無法對學校宣達可供支用支經費，爰懇請國教署提供協助。 高中跨域協同教學的鐘點費從哪裡來？(綜合性問題)
教育部 108課綱的彈性學習時間與團體活動的規劃若能有幾個學校規劃完成的「範本」能參考，並將範本學校的規劃內容與資訊平台整合，對於學校教師較能給予一個方向去思考，並激盪出適合學校師生能共同完成的課程。(綜合性問題)
教育部 希望有一個「平台」能統整所有與新課綱有關的法規或辦法，讓學校端在課程、學分規劃上能更方便有效率。
教育部 下學期教科書能否如期提供樣書供學校撰擬課程計畫仍不確定，恐怕學校課程計畫備查無法如期完成。
教育部 關於107.10.31臺教授國部字第1070114788號函，對前導學校影響最大，包含彈性課程已全校規劃實施，不知道明年要改成只有ㄧ和七年級嗎？其次是影響一些學校對於明年安排擔任一年級和七年級的老師作公開授課，其他年級不需要，會造成職務安排的困難。依文的說明是要逐年實施新課綱及公開授課等配套措施，但有些前導學校已全校試行，不知道明年該怎麼辦。(國中小階段問題)
教育部 各縣市可否以市定課程提出實驗方案申請英語教育向下延伸？
教育部 新課綱科技領域課綱並未向下延伸至國小。國中資訊科技課程與國小課程的必要性銜接與支持性銜接是否有規劃？
教育部 新課綱由七大領域變為八大領域，但重點卻鎖在生活科技，但有相對應的師資問題，無生科老師縣市就無法設置科技中心，這無非強者強，弱者益弱。
教育部 新住民語師資人力、開班數及排課配套、研發教材及教學示例相關需要協助，另部分縣市設置新住民語文輔導團目前具有難度。
教育部 因修習新住民語的學生可能會跨年段合班上課。新住民語文開課是否可能比照原民語開放在晨光時間修習？
教育部 目前國中小評量仍以紙筆測驗為主，鼓勵學校逐步將評量轉化為素養導向的配套為何？
教育部 新舊課綱轉銜過渡時期教師員額難以應付增加課程數。 對高中部中小型學校而言，非考科教師授課節數不足以聘一位老師，壓縮學校的課程開發的可能性。(高中階段問題)
教育部 高中目前選修開設課程與未來大學選才可以對應嗎？ 未來大學甄選入學採學習歷程，但在現階段卻完全不知道每個大學科系在未來會採計什麼樣的學習歷程，因此課程規劃者僅能以「自己覺得什麼樣的學習歷程較和該科系有所關聯」去做學生高中三年的課程規劃。(高中階段問題)
教育部 新課綱強調素養導向課程，支持課程設計及教學改變的一個槓桿點是後端的考招方式及評量試題的改變，開發與建置素養導向試題是未來重要的重點工作。(高中階段問題)
教育部 新課綱總綱規定：各校應提供學生跨班自由選修課程，學校開設之選修總學分數，應達學生應修習選修學分數之1.2-1.5倍。未來實施將增加鐘點費，其經費來源為何？學校設備、硬體及教室空間是否足夠？相關規範及配套措施何時能定案公布？(107年5月更新)
教育部 新課綱總綱規定：性別平等教育、環境教育、國防教育、家庭教育…等議題，均須融入課程中實施。惟依性別平等教育法、環境教育法、國防教育法、家庭教育法…等法令，對於每學年的所需授課與上課的時數都已經規定，學校於課程中節數應如何安排與使用？(107年4月更新)
教育部 因應新課綱的實施，將來學校課程計畫的撰寫方式將如何改變? 是否有建議的格式或必備項目可以提供參考？主管機關對課程計畫的審核機制及方式，是否有需要因應調整？此外，對於課程評鑑如何實施方式？是否有具體的建議？(107年4月更新)
教育部 新課綱強調核心素養，這與能力指標在教學實際上的運用有何不同？素養導向的課程如何轉化成實際可執行的課程？如何落實素養導向的課程設計與評量，各校在觀念與方法上都極需要協助，是否有相關配套措施？(107年3月更新)
教育部 新課綱總綱規定：為持續提升教學品質與學生學習成效，形塑同儕共學的教學文化，校長及每位教師每學年應在學校或社群整體規劃下，至少公開授課一次，並進行專業回饋。雖然教育部已經公布實施原則，但細則仍不明確，部分學校在執行上尚有疑慮，是否能建立協助校長的輔導支持系統或提供實師參考範例？
教育部 教師專業發展評鑑系統轉型為教師專業發展支持系統後，如何協助推動校長及教師公開授課？相關計畫如何整合推動？
教育部 新課綱增加新住民語課程，惟各校師資難覓，加上新住民語文教學支援工作人員培訓剛起步，並非新住民皆有意願及時間參與培訓，不易滿足學校需求，亦擔憂師資參差影響學生學習權益。尤其偏鄉學校班級數少、交通不便，開設節數相對較少，困境尤深。有關師資問題如何解決？此外，有關教材編輯、教學支援工作人員持續性的回流、在職增能培訓及教學輔導專業支持的建立，是否有完整的規劃？相關規範及配套措施何時能定案公布？(107年2月更新)
教育部 新課綱總綱規定：教師進行跨領域/科目統整之協同教學，經學校課程發展委員會通過後，其協同節數可採計為教師教學節數…。所謂採計「教師教學節數」，是否為教師「每週基本任課鐘點」?若2位以上教師協同教學，是否皆分別採計?若衍生鐘點費支出問題，如何支領才能符合會計法規？若縣市經費不足，能否申請經費補助？相關規範及配套措施何時能定案公布？(107年2月更新)
教育部 新課綱增加科技領域課程，惟各校所需生活科技、資訊科技專任合格教師普遍不足，加上受少子化影響，各校普遍難以甄補新進教師；其中資訊科技課程內容包含運算思維與問題解決、資料表示及分析、演算法及程式設計等，現有師資專業知能亦有不足，師資問題如何解決？是否有完整的師培及增能規劃。此外，因應新課綱的實施，各校生活科技及資訊科技專科教室均有不足，尤其生活科技專科教室機器設備老舊，已不合時宜，設備問題如何解決？
教育部 國中之彈性學習課程，包括四大面向與部分法規限制；未來學校的課程總體計畫，如果方向錯誤或審查未通過，對學校勢必造成極大衝擊。如何引導學校在課程設計階段，就能正確、穩健，才不致走冤枉路，又能夠合於新課綱之精神，是不得不審慎的議題，爰請教育部能夠提供相關課程計畫範例手冊供學校參考。
教育部 教育部指定之語言鑑定機構為何語文能力證明之成績合格標準為何?有無其他認定標準?
教育部 公費留學考試放榜後錄取者需於何時出國留學呢?
教育部 考取公費留學出國後，每年可以領到多少公費獎學金、公費支領年限及公費請領方式為何？
教育部 公費留學考試之考試科目有幾科目是否會改變?
教育部 報考公費留學考試之資格為何?
教育部 考取公費留學出國後，應該攻讀何種學位呢?
教育部 學校如何設計素養導向的校本課程？
教育部 關於高中多元選修課程1.2倍~1.5倍開課，學校規劃於5個班開設6門選修課，相差1個班的鐘點費，有關經費來源，教育部是否有規劃補助，不然將會造成地方財政負擔(目前學校係以高中優質化的經費支應試辦該課程)。
教育部 未來國中教育會考試題會因應新課綱領綱的實施而調整嗎? 大學及技專校院入學考試會因應調整嗎？調整方向及內容重點為何？據說未來高中將一生一課表，高中生多元選修會以想升學的大學端科系參考的相關課程有關，請問這些資訊何時會公布？
教育部 新課綱總綱規定：環境教育、國防教育、家庭教育…等議題，均須融入課程中實施。惟依環境教育法、國防教育法、家庭教育法…等法令，對於每學年的所需授課與上課的時數都已經規定，學校於課程中節數應如何安排與使用？
教育部 因應新課綱的實施，將來學校課程計畫的撰寫方式將如何改變? 是否有建議的格式或必備項目可以提供參考？主管機關對課程計畫的審核機制及方式，是否有需要因應調整？此外，對於課程評鑑如何實施方式？是否有具體的建議？
教育部 新課綱總綱規定：為持續提升教學品質與學生學習成效，形塑同儕共學的教學文化，校長及每位教師每學年應在學校或社群整體規劃下，至少公開授課一次，並進行專業回饋。雖然教育部已經公布實施原則，但細則仍不明確，部分學校在執行上尚有疑慮，是否能建立協助校長的輔導支持系統或提供實師參考範例？此外，教師專業發展評鑑系統轉型為教師專業發展支持系統後，如何協助推動校長及教師公開授課？相關計畫如何整合推動？
教育部 新課綱增加新住民語課程，惟各校師資難覓，加上新住民語文教學支援工作人員培訓剛起步，並非新住民皆有意願及時間參與培訓，不易滿足學校需求，亦擔憂師資參差影響學生學習權益。尤其偏鄉學校班級數少、交通不便，開設節數相對較少，困境尤深。有關師資問題如何解決？此外，有關教材編輯、教學支援工作人員持續性的回流、在職增能培訓及教學輔導專業支持的建立，是否有完整的規劃？相關規範及配套措施何時能定案公布？
教育部 部分縣市早先業以實驗教學的方式，專案報部同意將英語教學向下延伸至國小一、二年級，未來新課綱實施後，縣市是否可以延續辦理，須否重新專案報部？
教育部 未來高級中等學校學生自由跨班選修勢必增加學校排課難度，各校目前的排課系統將無法因應新課綱實施，未來是否有公版的排課軟體提供各校使用？
教育部 新課綱總綱規定：環境教育、國防教育、家庭教育…等議題，均須融入課程中實施。惟依環境教育法、國防教育法、家庭教育法…等法令，對於每學年的所需授課與上課的時數都已經規定，學校於課程中節數應如何安排與使用？
教育部 未來新課綱實施之後，針對人數較少之群科教科書無人出版之問題應如何處理？ 
教育部 為什麼要有高級中等教育共同核心課程，它的目的與作用為何？共同核心課程包含那些？ 
教育部 普通型高級中等學校課綱與大學考招調整連動關係甚大，影響高中教學現場能否落實課綱理念甚大，本次在這方面的做法是什麼？ 
教育部 高中選修課程的理想很好，但如何落實呢? 
教育部 總綱如何規劃目前社會大眾所關心的性別平等教育、人權教育、環境教育、海洋教育、品德教育、生命教育、戶外教育、防災教育、國際教育等許許多多的議題？在學校的實施方式為何？ 
